# packages in environment at /opt/miniconda3/envs/geovis:
#
# Name                    Version                   Build  Channel
overrides                 7.7.0              pyhd8ed1ab_1    conda-forge
packaging                 25.0            py311hca03da5_1  
pandas                    3.0.0           py311h4a068b9_0    conda-forge
pandocfilters             1.5.0              pyhd8ed1ab_0    conda-forge
parso                     0.8.5              pyhcf101f3_0    conda-forge
pexpect                   4.9.0              pyhd8ed1ab_1    conda-forge
pillow                    12.1.0          py311hd37aea2_0    conda-forge
pip                       25.3               pyhc872135_0  
platformdirs              4.5.1              pyhcf101f3_0    conda-forge
prometheus_client         0.24.1             pyhd8ed1ab_0    conda-forge
prompt-toolkit            3.0.52             pyha770c72_0    conda-forge
psutil                    7.2.1           py311he363849_0    conda-forge
pthread-stubs             0.4               hd74edd7_1002    conda-forge
ptyprocess                0.7.0              pyhd8ed1ab_1    conda-forge
pure_eval                 0.2.3              pyhd8ed1ab_1    conda-forge
pycparser                 2.22               pyh29332c3_1    conda-forge
pygments                  2.19.2             pyhd8ed1ab_0    conda-forge
pyobjc-core               11.0            py311hab620ed_0    conda-forge
pyobjc-framework-cocoa    11.0            py311hab620ed_0    conda-forge
pyparsing                 3.3.2              pyhcf101f3_0    conda-forge
pysocks                   1.7.1              pyha55dd90_7    conda-forge
python                    3.11.11         hc22306f_2_cpython    conda-forge
python-dateutil           2.9.0.post0        pyhe01879c_2    conda-forge
python-fastjsonschema     2.21.2             pyhe01879c_0    conda-forge
python-json-logger        2.0.7              pyhd8ed1ab_0    conda-forge
python-tzdata             2025.3             pyhd8ed1ab_0    conda-forge
python_abi                3.11                    8_cp311    conda-forge
pytz                      2025.2             pyhd8ed1ab_0    conda-forge
pyyaml                    6.0.3           py311ha9b3269_0    conda-forge
pyzmq                     27.1.0          py311h13abfa4_0    conda-forge
qhull                     2020.2               h420ef59_5    conda-forge
readline                  8.3                  h0b18652_0  
referencing               0.37.0             pyhcf101f3_0    conda-forge
requests                  2.32.5             pyhcf101f3_1    conda-forge
rfc3339-validator         0.1.4              pyhd8ed1ab_1    conda-forge
rfc3986-validator         0.1.1              pyh9f0ad1d_0    conda-forge
rfc3987-syntax            1.1.0              pyhe01879c_1    conda-forge
rpds-py                   0.30.0          py311h71babbd_0    conda-forge
send2trash                2.1.0              pyh5552912_0    conda-forge
setuptools                80.10.1         py311hca03da5_0  
six                       1.17.0             pyhe01879c_1    conda-forge
sniffio                   1.3.1              pyhd8ed1ab_2    conda-forge
soupsieve                 2.8.3              pyhd8ed1ab_0    conda-forge
sqlite                    3.51.1               hab6afd1_0  
stack_data                0.6.3              pyhd8ed1ab_1    conda-forge
terminado                 0.18.1             pyhc90fa1f_1    conda-forge
tinycss2                  1.5.1              pyhcf101f3_0    conda-forge
tk                        8.6.15               hcd8a7d5_0  
tomli                     2.4.0              pyhcf101f3_0    conda-forge
tornado                   6.5.4           py311h9408147_0    conda-forge
traitlets                 5.14.3             pyhd8ed1ab_1    conda-forge
typing-extensions         4.15.0               h396c80c_0    conda-forge
typing_extensions         4.15.0             pyhcf101f3_0    conda-forge
typing_utils              0.1.0              pyhd8ed1ab_1    conda-forge
tzdata                    2025c                he532380_0  
unicodedata2              17.0.0          py311h9408147_1    conda-forge
uri-template              1.3.0              pyhd8ed1ab_1    conda-forge
urllib3                   2.6.3              pyhd8ed1ab_0    conda-forge
wcwidth                   0.4.0              pyhd8ed1ab_0    conda-forge
webcolors                 25.10.0            pyhd8ed1ab_0    conda-forge
webencodings              0.5.1              pyhd8ed1ab_3    conda-forge
websocket-client          1.9.0              pyhd8ed1ab_0    conda-forge
wheel                     0.46.3          py311hca03da5_0  
xorg-libxau               1.0.12               hc919400_1    conda-forge
xorg-libxdmcp             1.1.5                hc919400_1    conda-forge
xz                        5.8.2                hd0f0c4f_0    conda-forge
xz-gpl-tools              5.8.2                hd0f0c4f_0    conda-forge
xz-tools                  5.8.2                h8088a28_0    conda-forge
yaml                      0.2.5                h925e9cb_3    conda-forge
zeromq                    4.3.5                h888dc83_9    conda-forge
zipp                      3.23.0             pyhcf101f3_1    conda-forge
zlib                      1.3.1                h5f15de7_0  
zlib-ng                   2.3.2                hed4e4f5_1    conda-forge
zstd                      1.5.7                hbf9d68e_6    conda-forge
